dates,a_temp,m_temp,n_temp,s_prec,a_pres,n_pres,m_pres,a_ws,m_ws,m_gust,a_humi,m_humi,n_humi,a_vis,m_vis,n_vis,a_qff,m_qff,n_qff
2014-01-01,23.1,29.8,17.5,0.0,1013.2,1010.8,1016.5,3.8,14.0,21.6,68,93,41,6054,12180,2507,1014.8,1018.1,1012.4
2014-01-02,23.7,31.7,18.3,0.0,1012.3,1010.6,1014.5,2.8,13.0,16.9,70,96,34,4266,12025,1036,1013.9,1016.0,1012.2
2014-01-03,24.7,33.8,18.4,0.0,1011.3,1009.2,1014.3,2.4,13.0,16.2,69,96,32,3741,9088,72,1012.9,1015.8,1010.8
2014-01-04,25.5,32.8,20.5,0.0,1011.0,1009.2,1013.5,2.4,13.3,22.0,71,96,42,4085,8543,548,1012.6,1015.0,1010.8
2014-01-05,25.9,32.4,21.5,0.0,1010.2,1008.1,1012.9,3.9,15.1,23.8,68,92,42,7171,13488,473,1011.8,1014.4,1009.7
2014-01-06,26.6,33.7,22.2,0.0,1010.3,1008.0,1012.7,2.7,11.2,16.9,74,96,43,4317,13527,606,1011.9,1014.2,1009.6
2014-01-07,26.7,32.9,22.3,0.0,1010.5,1008.1,1012.5,3.3,15.1,19.8,79,96,49,4115,9542,344,1012.1,1014.0,1009.7
2014-01-08,27.2,33.9,22.4,0.0,1010.7,1008.7,1014.0,2.2,10.8,15.1,79,96,46,3648,11150,603,1012.3,1015.5,1010.3
2014-01-09,28.1,32.9,22.4,0.0,1011.4,1008.8,1013.5,6.8,18.0,27.0,58,96,40,12149,20000,749,1013.0,1015.0,1010.4
2014-01-10,26.3,31.4,20.9,0.0,1013.4,1010.8,1015.7,6.1,20.5,29.9,66,93,45,12055,20000,4965,1015.0,1017.2,1012.4
2014-01-11,26.4,31.9,20.5,0.0,1013.9,1011.6,1016.3,5.1,19.1,26.6,63,92,40,14459,20000,3293,1015.5,1017.8,1013.2
2014-01-12,26.8,32.8,22.3,0.0,1013.8,1011.4,1016.8,4.8,15.5,24.5,57,80,33,15927,20000,6809,1015.4,1018.3,1013.0
2014-01-13,26.2,30.5,20.7,0.0,1013.4,1010.8,1016.2,7.6,17.3,27.0,55,74,43,15812,20000,1958,1015.0,1017.8,1012.4
2014-01-14,24.2,29.3,19.5,0.0,1015.3,1012.6,1017.8,7.7,21.2,28.8,56,74,42,17305,20000,11661,1016.9,1019.4,1014.2
2014-01-15,23.1,28.5,16.5,0.0,1016.0,1013.3,1018.3,6.0,18.7,24.8,51,75,34,14880,20000,2860,1017.6,1019.9,1014.9
2014-01-16,22.9,28.2,16.7,0.0,1016.0,1013.9,1019.3,4.8,16.6,25.2,54,81,35,11589,20000,3393,1017.6,1020.9,1015.5
2014-01-17,24.1,29.8,18.9,0.0,1015.9,1013.0,1018.6,6.4,18.4,25.9,52,73,29,12874,20000,5137,1017.5,1020.2,1014.6
2014-01-18,23.5,27.8,18.9,0.0,1018.2,1015.5,1020.3,9.5,19.8,29.5,54,73,43,11787,20000,4157,1019.8,1021.9,1017.1
2014-01-19,22.7,27.3,18.8,0.0,1017.8,1015.9,1021.2,6.4,20.5,28.8,55,71,43,7181,15675,2504,1019.4,1022.8,1017.5
2014-01-20,24.1,28.9,19.0,0.0,1016.7,1013.7,1019.4,5.6,18.7,22.0,51,68,34,8819,16934,4181,1018.3,1021.0,1015.3
2014-01-21,22.9,27.9,17.8,0.0,1017.5,1014.7,1020.4,9.2,22.3,36.4,48,67,35,10231,19715,2024,1019.1,1022.0,1016.3
2014-01-22,21.1,26.0,16.1,0.0,1017.3,1014.7,1020.9,8.5,25.2,33.8,47,72,28,6364,10816,2228,1018.9,1022.5,1016.3
2014-01-23,21.1,27.4,14.7,0.0,1015.7,1013.4,1019.6,4.2,14.8,19.8,52,81,30,6444,10929,2906,1017.3,1021.2,1015.0
